feature,importance
tqwt_entropy_shannon_dec_34,0.0
app_entropy_log_7_coef,0.0
app_entropy_log_8_coef,0.0
tqwt_meanValue_dec_16,0.0
app_entropy_log_9_coef,0.0
app_entropy_log_10_coef,0.0
det_TKEO_std_3_coef,0.0
det_TKEO_std_4_coef,0.0
tqwt_entropy_log_dec_32,0.0
tqwt_meanValue_dec_23,0.0
tqwt_meanValue_dec_26,0.0
tqwt_entropy_log_dec_23,0.0
tqwt_meanValue_dec_29,0.0
Ea,0.0
Ed_4_coef,0.0
tqwt_medianValue_dec_3,0.0
tqwt_medianValue_dec_12,0.0
tqwt_medianValue_dec_13,0.0
tqwt_medianValue_dec_14,0.0
tqwt_medianValue_dec_33,0.0
det_entropy_log_9_coef,0.0
det_entropy_log_10_coef,0.0
det_TKEO_mean_1_coef,0.0
